Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	460.77	0.000000	0
D:	461.87	0.000000	0
D:	462.91	0.000000	0
D:	463.89	0.000000	0
D:	464.90	0.000000	0
D:	465.87	0.000000	0
D:	466.78	0.000000	0
D:	467.69	0.000000	0
D:	468.59	0.000000	0
D:	469.54	0.000000	0
D:	470.45	0.000000	0
D:	471.33	0.000000	0
D:	472.17	0.000000	0
D:	473.02	0.000000	0
D:	473.97	0.000000	0
D:	474.90	0.000000	0
D:	475.87	0.000000	0
D:	476.70	0.000000	0
D:	477.50	0.000000	0
D:	478.30	0.000000	0
D:	479.15	0.000000	0
D:	480.13	0.000000	0
D:	481.03	0.000000	0
D:	481.91	0.000000	0
D:	482.85	0.000000	0
D:	483.82	0.000000	0
D:	484.77	0.000000	0
D:	485.71	0.000000	0
D:	486.67	0.000000	0
D:	487.61	0.000000	0
D:	489.52	0.000000	0
D:	490.47	0.000000	0
D:	491.70	0.000000	0
D:	492.67	0.000000	0
D:	493.68	0.000000	0
D:	494.66	0.000000	0
D:	495.82	0.000000	0
D:	497.00	0.000000	0
D:	498.22	0.000000	0
D:	499.18	0.000000	0
D:	500.28	0.000000	0
D:	501.40	0.000000	0
D:	502.41	0.000000	0
D:	503.40	0.000000	0
D:	504.60	0.000000	0
D:	505.87	0.000000	0
D:	507.23	0.000000	0
D:	508.44	0.000000	0
D:	509.66	0.000000	0
D:	510.84	0.000000	0
D:	512.05	0.000000	0
D:	513.04	0.000000	0
D:	514.19	0.000000	0
D:	515.38	0.000000	0
D:	516.78	0.000000	0
D:	517.95	0.000000	0
D:	519.17	0.000000	0
D:	520.39	0.000000	0
D:	521.30	0.000000	0
D:	522.30	0.000000	0
D:	523.61	0.000000	0
D:	524.85	0.000000	0
D:	526.20	0.000000	0
D:	527.48	0.000000	0
D:	528.80	0.000000	0
D:	530.09	0.000000	0
D:	531.14	0.000000	0
D:	532.11	0.000000	0
D:	533.16	0.000000	0
D:	534.42	0.000000	0
D:	535.66	0.000000	0
D:	536.96	0.000000	0
D:	538.25	0.000000	0
D:	539.54	0.000000	0
D:	540.68	0.000000	0
D:	541.78	0.000000	0
D:	542.86	0.000000	0
D:	543.95	0.000000	0
D:	545.04	0.000000	0
D:	546.01	0.000000	0
D:	547.08	0.000000	0
D:	548.04	0.000000	0
D:	549.08	0.000000	0
D:	550.29	0.000000	0
D:	551.51	0.000000	0
D:	552.71	0.000000	0
D:	553.64	0.000000	0
D:	554.60	0.000000	0
D:	555.86	0.000000	0
D:	557.24	0.000000	0
D:	558.53	0.000000	0
D:	559.81	0.000000	0
D:	561.15	0.000000	0
D:	562.17	0.000000	0
D:	563.15	0.000000	0
D:	564.12	0.000000	0
D:	565.30	0.000000	0
D:	566.34	0.000000	0
D:	567.60	0.000000	0
D:	568.81	0.000000	0
D:	570.00	0.000000	0
D:	570.94	0.000000	0
D:	571.92	0.000000	0
D:	572.88	0.000000	0
D:	573.89	0.000000	0
D:	574.85	0.000000	0
D:	575.87	0.000000	0
D:	576.93	0.000000	0
D:	577.91	0.000000	0
D:	578.89	0.000000	0
D:	580.13	0.000000	0
D:	581.04	0.000000	0
D:	581.98	0.000000	0
D:	582.93	0.000000	0
D:	584.05	0.000000	0
D:	585.04	0.000000	0
D:	586.01	0.000000	0
D:	586.93	0.000000	0
D:	587.88	0.000000	0
D:	588.84	0.000000	0
D:	589.88	0.000000	0
D:	590.86	0.000000	0
D:	591.73	0.000000	0
D:	592.76	0.000000	0
D:	593.62	0.000000	0
D:	594.51	0.000000	0
D:	595.44	0.000000	0
D:	596.39	0.000000	0
D:	597.26	0.000000	0
D:	598.13	0.000000	0
D:	599.03	0.000000	0
D:	599.97	0.000000	0
D:	600.94	0.000000	0
D:	601.90	0.000000	0
D:	602.84	0.000000	0
D:	603.89	0.000000	0
D:	605.23	0.000000	0
D:	606.52	0.000000	0
D:	607.75	0.000000	0
D:	608.86	0.000000	0
D:	609.94	0.000000	0
D:	611.07	0.000000	0
D:	612.07	0.000000	0
D:	613.44	0.000000	0
D:	614.67	0.000000	0
D:	615.59	0.000000	0
D:	616.72	0.000000	0
D:	617.93	0.000000	0
D:	619.00	0.000000	0
D:	620.19	0.000000	0
D:	621.39	0.000000	0
D:	622.66	0.000000	0
D:	623.88	0.000000	0
D:	625.28	0.000000	0
D:	626.62	0.000000	0
D:	627.72	0.000000	0
D:	628.70	0.000000	0
D:	629.69	0.000000	0
D:	630.62	0.000000	0
D:	631.54	0.000000	0
D:	632.51	0.000000	0
D:	633.53	0.000000	0
D:	634.52	0.000000	0
D:	635.45	0.000000	0
D:	636.40	0.000000	0
D:	637.60	0.000000	0
D:	638.67	0.000000	0
D:	639.88	0.000000	0
D:	641.20	0.000000	0
D:	642.49	0.000000	0
D:	643.44	0.000000	0
D:	644.36	0.000000	0
D:	645.23	0.000000	0
D:	646.23	0.000000	0
D:	647.23	0.000000	0
D:	648.42	0.000000	0
D:	649.49	0.000000	0
D:	650.66	0.000000	0
D:	651.87	0.000000	0
D:	653.15	0.000000	0
D:	654.38	0.000000	0
D:	655.60	0.000000	0
D:	656.85	0.000000	0
D:	658.06	0.000000	0
D:	659.29	0.000000	0
D:	660.48	0.000000	0
D:	661.66	0.000000	0
D:	662.87	0.000000	0
D:	664.17	0.000000	0
D:	665.33	0.000000	0
D:	666.61	0.000000	0
D:	667.72	0.000000	0
D:	668.79	0.000000	0
D:	669.88	0.000000	0
D:	671.01	0.000000	0
D:	672.11	0.000000	0
D:	673.21	0.000000	0
D:	674.31	0.000000	0
D:	675.43	0.000000	0
D:	676.57	0.000000	0
D:	677.71	0.000000	0
D:	678.88	0.000000	0
D:	680.27	0.000000	0
D:	681.38	0.000000	0
D:	682.31	0.000000	0
D:	683.43	0.000000	0
D:	684.57	0.000000	0
D:	685.65	0.000000	0
D:	686.66	0.000000	0
D:	687.55	0.000000	0
